controle;ano;MES;titulo;titulo_do;total_rbft;lei;conteudo;DP;cisp;hora_com;hora_fato;bairro_fato;municipio_fato;AISP;RISP;local;sexo;idade;cor;escolaridade;profissao;relacao;bairro_vit;municipio_vit;data_fato;data_com;data_nasc
00166501-2018;2018;maio;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;053a. Mesquita;06:50:21;03:00;Edson passos;Mesquita;AISP 20;RISP 03;Via pública;masculino;28;parda;Ignorado;Ignorado;Ignorado;sem informação;sem informação;26/05/2018;26/05/2018;10/11/1989
00198301-2018;2018;junho;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;056a. Comendador Soares;17:03:16;00:00;Cabucu;Nova Iguaçu;AISP 20;RISP 03;Via pública;masculino;16;preta;Ignorado;Ignorado;Nenhuma;sem informação;sem informação;13/06/2018;13/06/2018;9/05/2002
00198301-2018;2018;junho;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;056a. Comendador Soares;17:03:16;00:00;Cabucu;Nova Iguaçu;AISP 20;RISP 03;Via pública;masculino;19;preta;Ignorado;Ignorado;Nenhuma;sem informação;sem informação;13/06/2018;13/06/2018;12/02/1999
00210921-2018;2018;novembro;Homicídio Provocado por Emprego de Arma Branca;Homicídio doloso;não se aplica;Não;vítimas;134a. Campos;134a. Campos;01:49:00;08:00;Parque joquei club;Campos dos Goytacazes;AISP 08;RISP 06;Residência;masculino;47;parda;1º Grau completo;Servente;Vizinho(a);Turfe clube;Campos dos goytacazes;18/11/2018;18/11/2018;4/02/1971
00235991-2018;2018;maio;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;060a. Campos Elíseos;12:27:35;00:00;Senhora do carmo/pantanal;Duque de Caxias;AISP 15;RISP 03;Outros;masculino; ;ignorado;Sem informação;sem informação;Nenhuma;sem informação;sem informação;21/05/2018;21/05/2018; 
00242991-2018;2018;outubro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;053a. Mesquita;04:05:45;21:20;Santa terezinha;Mesquita;AISP 20;RISP 03;Residência;masculino;26;parda;Não alfabetizado(a);Garçom;Nenhuma;Santa eugenia;Nova iguacu;23/10/2018;23/10/2018;19/08/1992
00251161-2018;2018;junho;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;011a. Rocinha;04:42:08;02:00;Rocinha;Rio de Janeiro;AISP 23;RISP 01;Via pública;masculino;17;preta;Ignorado;Ignorado;Ignorado;sem informação;sem informação;17/06/2018;17/06/2018;11/09/2000
00288251-2018;2018;março;Homicídio (outros);Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;057a. Nilópolis;13:52:14;06:00;Centro;Nilópolis;AISP 20;RISP 03;Ignorado;masculino;18;parda;Ignorado;Ignorado;Ignorado;sem informação;sem informação;10/03/2018;10/03/2018;7/05/1999
00295111-2018;2018;junho;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;058a. Posse;052a. Nova Iguaçu;19:59:19;18:30;Jardim iguacu;Nova Iguaçu;AISP 20;RISP 03;Via pública;masculino;44;parda;Ignorado;Ignorado;Nenhuma;Jardim iguacu;Nova iguacu;9/06/2018;9/06/2018;19/02/1974
00297611-2018;2018;junho;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;126a. Cabo Frio;126a. Cabo Frio;18:41:38;07:00;Unamar;Cabo Frio;AISP 25;RISP 04;Via pública;masculino;31;ignorado;Ignorado;Ignorado;Nenhuma;Arroz - barra de sao joao;Casimiro de abreu;11/06/2018;11/06/2018;13/07/1986
00297611-2018;2018;junho;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;126a. Cabo Frio;126a. Cabo Frio;18:41:38;07:00;Unamar;Cabo Frio;AISP 25;RISP 04;Via pública;feminino;43;ignorado;Ignorado;sem informação;Nenhuma;Barra de sao joao - arroz;Casimiro de abreu;11/06/2018;11/06/2018;22/06/1974
00298851-2018;2018;março;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios de Niterói e São Gonçalo;075a. Rio do Ouro;02:26:35;23:50;Joquei;São Gonçalo;AISP 07;RISP 04;Via pública;masculino;32;parda;Ignorado;Ignorado;Nenhuma;sem informação;sem informação;26/03/2018;27/03/2018;10/01/1986
00349001-2018;2018;fevereiro;Homicídio (outros);Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;044a. Inhaúma;20:44:44;09:00;Del castilho;Rio de Janeiro;AISP 03;RISP 01;Via pública;masculino; ;parda;Sem informação;sem informação;Ignorado;sem informação;sem informação;28/02/2018;28/02/2018; 
00364201-2018;2018;dezembro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;166a. Angra dos Reis;166a. Angra dos Reis;15:14:50;05:00;Itinga;Angra dos Reis;AISP 33;RISP 05;Outros;masculino; ;ignorado;Sem informação;sem informação;Ignorado;sem informação;sem informação;25/12/2018;25/12/2018; 
00378331-2018;2018;março;Homicídio Provocado por Emprego de Arma Branca;Homicídio doloso;não se aplica;Não;vítimas;060a. Campos Elíseos;061a. Xerém;16:31:44;09:00;< bairro nao cadastrado >;Duque de Caxias;AISP 15;RISP 03;Hospital, clinica e similares;masculino;42;branca;1º Grau incompleto;Pedreiro;Ignorado;Vila canaa;Marica;25/03/2018;25/03/2018;18/10/1975
00384701-2018;2018;maio;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;034a. Bangu;15:26:26;22:00;Bangu;Rio de Janeiro;AISP 14;RISP 02;Via pública;masculino;26;parda;1º Grau completo;Outros;Ignorado;Bangu;Rio de janeiro;14/05/2018;14/05/2018;25/02/1992
00404481-2018;2018;julho;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;058a. Posse;11:41:45;22:00;Tingua;Nova Iguaçu;AISP 20;RISP 03;Via pública;masculino;22;parda;1º Grau incompleto;Ajudante de pedreiro;Ignorado;Tingua;Nova iguacu;12/07/2018;13/07/2018;21/09/1995
00409151-2018;2018;fevereiro;Homicídio (outros);Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios de Niterói e São Gonçalo;079a. Jurujuba;16:55:55;00:00;Muriqui;Niterói;AISP 12;RISP 04;Via pública;masculino; ;preta;Sem informação;sem informação;Ignorado;sem informação;sem informação;13/02/2018;13/02/2018; 
00411651-2018;2018;novembro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;039a. Pavuna;05:51:34;00:00;Costa barros;Rio de Janeiro;AISP 41;RISP 02;Ignorado;masculino; ;preta;Sem informação;sem informação;Ignorado;sem informação;sem informação;3/11/2018;3/11/2018; 
00418001-2018;2018;junho;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;050a. Itaguaí;19:05:07;17:00;Leandro;Itaguaí;AISP 24;RISP 03;Via pública;masculino;23;branca;Ignorado;Ignorado;Ignorado;sem informação;sem informação;12/06/2018;12/06/2018;18/06/1994
00422061-2018;2018;dezembro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;062a. Imbariê;14:11:53;05:00;Vila ema;Duque de Caxias;AISP 15;RISP 03;Via pública;masculino; ;parda;Sem informação;sem informação;Ignorado;sem informação;sem informação;20/12/2018;20/12/2018; 
00434221-2018;2018;julho;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios de Niterói e São Gonçalo;071a. Itaboraí;03:43:28;23:00;Centro (porto das caixas);Itaboraí;AISP 35;RISP 04;Via pública;masculino; ;parda;Sem informação;sem informação;Ignorado;sem informação;sem informação;30/07/2018;30/07/2018; 
00434221-2018;2018;julho;Roubo outros;Roubo (outros);Roubo;Não;casos;Delegacia de Homicídios de Niterói e São Gonçalo;071a. Itaboraí;03:43:28;23:00;Centro (porto das caixas);Itaboraí;AISP 35;RISP 04;Via pública;não se aplica; ;não se aplica;não se aplica;não se aplica;Não se aplica;não se aplica;não se aplica;30/07/2018;30/07/2018; 
00457961-2018;2018;agosto;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;032a. Taquara;18:48:38;19:50;Barra da tijuca;Rio de Janeiro;AISP 18;RISP 02;Via pública;masculino;60;branca;Ignorado;Ignorado;Ignorado;sem informação;sem informação;14/08/2018;14/08/2018;2/03/1958
00463981-2018;2018;março;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;060a. Campos Elíseos;07:07:07;16:20;Parque fluminense ,lt 32 qd. e;Duque de Caxias;AISP 15;RISP 03;Via pública;masculino;17;branca;Ignorado;Ignorado;Ignorado;sem informação;sem informação;6/03/2018;6/03/2018;23/03/2000
00463981-2018;2018;março;Homicídio Provocado por Projétil de Arma de Fogo - Tentativa;Tentativa de homicídio;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;060a. Campos Elíseos;07:07:07;16:20;Parque fluminense ,lt 32 qd. e;Duque de Caxias;AISP 15;RISP 03;Via pública;masculino;29;preta;1º Grau incompleto;Não possui;Ignorado;Centenario;Duque de caxias;6/03/2018;6/03/2018;25/04/1988
00474861-2018;2018;março;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;146a. Guarus;146a. Guarus;22:48:22;21:00;Parque boa vista;Campos dos Goytacazes;AISP 08;RISP 06;Ignorado;feminino;17;parda;Ignorado;Ignorado;Ignorado;sem informação;Campos dos goytacazes;18/03/2018;18/03/2018;29/05/2000
00474861-2018;2018;março;Homicídio Provocado por Projétil de Arma de Fogo - Tentativa;Tentativa de homicídio;não se aplica;Não;vítimas;146a. Guarus;146a. Guarus;22:48:22;21:00;Parque boa vista;Campos dos Goytacazes;AISP 08;RISP 06;Ignorado;feminino;17;parda;Ignorado;Ignorado;Ignorado;sem informação;Campos dos goytacazes;18/03/2018;18/03/2018;29/05/2000
00474861-2018;2018;março;Homicídio Provocado por Projétil de Arma de Fogo - Tentativa;Tentativa de homicídio;não se aplica;Não;vítimas;146a. Guarus;146a. Guarus;22:48:22;21:00;Parque boa vista;Campos dos Goytacazes;AISP 08;RISP 06;Ignorado;masculino; ;parda;Ignorado;Ignorado;Ignorado;sem informação;Campos dos goytacazes;18/03/2018;18/03/2018; 
00476541-2018;2018;outubro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;058a. Posse;17:42:31;21:20;Miguel couto;Nova Iguaçu;AISP 20;RISP 03;Via pública;masculino;28;branca;Alfabetizado(a);Desempregado(a);Ignorado;Belford roxo;Belford roxo;2/10/2018;2/10/2018;13/08/1990
00519571-2018;2018;dezembro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios de Niterói e São Gonçalo;073a. Neves;19:54:28;14:32;Gradim;São Gonçalo;AISP 07;RISP 04;Via pública;masculino;31;preta;Ignorado;Ignorado;Ignorado;Gradim;Sao goncalo;1/12/2018;1/12/2018;19/07/1987
00524761-2018;2018;outubro;Homicídio (outros) - Tentativa;Tentativa de homicídio;não se aplica;Não;vítimas;167a. Parati;167a. Parati;22:25:50;15:30;Centro historico;Paraty;AISP 33;RISP 05;Via pública;masculino;17;branca;1º Grau incompleto;Desempregado(a);Ignorado;Centro;Parati;9/10/2018;9/10/2018;14/08/2001
00524761-2018;2018;outubro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;167a. Parati;167a. Parati;22:25:50;15:30;Centro historico;Paraty;AISP 33;RISP 05;Via pública;masculino;34;branca;1º Grau incompleto;Cozinheiro(a);Ignorado;Portao de ferro 03;Parati;9/10/2018;9/10/2018;12/04/1984
00524761-2018;2018;outubro;Homicídio Provocado por Projétil de Arma de Fogo - Tentativa;Tentativa de homicídio;não se aplica;Não;vítimas;167a. Parati;167a. Parati;22:25:50;15:30;Centro historico;Paraty;AISP 33;RISP 05;Via pública;sem informação; ;sem informação;Sem informação;sem informação;Sem informação;sem informação;sem informação;9/10/2018;9/10/2018; 
00625781-2018;2018;dezembro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;125a. São Pedro da Aldeia;125a. São Pedro da Aldeia;16:48:31;14:30;Alecrim;São Pedro da Aldeia;AISP 25;RISP 04;Via pública;masculino;43;branca;1º Grau incompleto;Ajudante de pedreiro;Ignorado;Jardim esperanca;Cabo frio;14/12/2018;14/12/2018;2/09/1975
00647961-2018;2018;novembro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;029a. Madureira;19:28:19;13:00;Engenheiro leal;Rio de Janeiro;AISP 09;RISP 02;Via pública;masculino;54;branca;3º Grau completo;Policial militar;Ignorado;Cascadura;Rio de janeiro;24/11/2018;24/11/2018;22/11/1964
00647961-2018;2018;novembro;Roubo de Arma de Fogo;Roubo de arma de fogo;Roubo;Não;casos;Delegacia de Homicídios da Capital;029a. Madureira;19:28:19;13:00;Engenheiro leal;Rio de Janeiro;AISP 09;RISP 02;Via pública;não se aplica; ;não se aplica;não se aplica;não se aplica;Não se aplica;não se aplica;não se aplica;24/11/2018;24/11/2018; 
00649941-2018;2018;maio;Homicídio (outros);Homicídio doloso;não se aplica;Não;vítimas;147a. São Francisco de Itabapoana;147a. São Francisco de Itabapoana;15:27:57;19:00;Aroeira;São Francisco de Itabapoana;AISP 08;RISP 06;Residência;feminino;38;branca;Ignorado;Auxiliar de serviços gerais;Ignorado;Macuco;Sao francisco de itabapoana;23/05/2018;25/05/2018;2/12/1979
00659431-2018;2018;maio;Homicídio Provocado por Emprego de Arma Branca;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;040a. Honório Gurgel;18:56:50;17:23;Coelho neto;Rio de Janeiro;AISP 09;RISP 02;Via pública;masculino; ;parda;Sem informação;sem informação;Ignorado;sem informação;sem informação;27/05/2018;28/05/2018; 
00707951-2018;2018;dezembro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;041a. Tanque;19:39:10;17:45;sem informação;Rio de Janeiro;AISP 18;RISP 02;Hospital, clinica e similares;masculino;19;parda;2º Grau incompleto;Desocupado(a);Ignorado;Taquara;Rio de janeiro;26/12/2018;26/12/2018;8/08/1999
00711931-2018;2018;fevereiro;Homicídio (outros);Homicídio doloso;não se aplica;Não;vítimas;127a. Búzios;127a. Búzios;13:52:43;00:45;< bairro nao cadastrado >;Armação dos Búzios;AISP 25;RISP 04;Residência;masculino;27;preta;2º Grau incompleto;Motociclista;Irmão(a);< bairro nao cadastrado >;Armacao dos buzios;12/02/2018;12/02/2018;12/07/1990
00759181-2018;2018;outubro;Homicídio (outros);Homicídio doloso;não se aplica;Não;vítimas;033a. Realengo;033a. Realengo;16:45:15;16:10;Realengo;Rio de Janeiro;AISP 14;RISP 02;Hospital, clinica e similares;masculino; ;preta;Sem informação;sem informação;Ignorado;sem informação;sem informação;25/10/2018;26/10/2018; 
00778701-2018;2018;abril;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;036a. Santa Cruz;18:51:02;00:00;Santa cruz;Rio de Janeiro;AISP 27;RISP 02;Via pública;masculino;27;parda;Ignorado;Ignorado;Ignorado;sem informação;sem informação;15/04/2018;15/04/2018;11/03/1991
00778701-2018;2018;abril;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;036a. Santa Cruz;18:51:02;00:00;Santa cruz;Rio de Janeiro;AISP 27;RISP 02;Via pública;masculino;26;parda;2º Grau incompleto;Outros;Ignorado;Fomento/santa cruz;Rio de janeiro;15/04/2018;15/04/2018;30/07/1991
00804161-2018;2018;abril;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios de Niterói e São Gonçalo;073a. Neves;05:51:20;17:00;Porto novo;São Gonçalo;AISP 07;RISP 04;Via pública;masculino;49;branca;1º Grau incompleto;Comerciante;Ignorado;Porto novo;Sao goncalo;20/04/2018;20/04/2018;12/06/1968
00880641-2018;2018;junho;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;029a. Madureira;12:04:51;01:59;Madureira;Rio de Janeiro;AISP 09;RISP 02;Via pública;feminino;25;parda;Ignorado;Ignorado;Nenhuma;sem informação;sem informação;3/06/2018;3/06/2018;15/05/1993
00899421-2018;2018;agosto;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;056a. Comendador Soares;22:26:02;20:00;Lagoinha;Nova Iguaçu;AISP 20;RISP 03;Via pública;masculino;18;parda;Ignorado;Ignorado;Ignorado;sem informação;sem informação;12/08/2018;13/08/2018;24/07/2000
00948501-2018;2018;maio;Homicídio (outros);Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;056a. Comendador Soares;18:52:17;13:30;Km 32;Nova Iguaçu;AISP 20;RISP 03;Rio;ignorado; ;ignorado;Sem informação;sem informação;Ignorado;sem informação;sem informação;10/05/2018;10/05/2018; 
00960881-2018;2018;junho;Homicídio (outros);Homicídio doloso;não se aplica;Não;vítimas;093a. Volta Redonda;093a. Volta Redonda;15:39:25;07:00;Retiro;Volta Redonda;AISP 28;RISP 05;Via pública;masculino;27;parda;1º Grau incompleto;Ajudante de pedreiro;Ignorado;Santa rita do zahur;Volta redonda;3/06/2018;3/06/2018;31/12/1990
01046541-2018;2018;dezembro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;022a. Penha;11:26:58;07:30;Cordovil;Rio de Janeiro;AISP 16;RISP 01;Via pública;masculino; ;parda;Sem informação;sem informação;Nenhuma;sem informação;sem informação;23/12/2018;23/12/2018; 
01059901-2018;2018;fevereiro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;134a. Campos;134a. Campos;12:21:14;08:00;< bairro nao cadastrado >;Campos dos Goytacazes;AISP 08;RISP 06;Ignorado;masculino;41;parda;Ignorado;Ignorado;Ignorado;< bairro nao cadastrado >;Campos dos goytacazes;9/02/2018;9/02/2018;5/11/1976
01065121-2018;2018;janeiro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;035a. Campo Grande;07:01:17;19:00;Campo grande;Rio de Janeiro;AISP 40;RISP 02;Ignorado;masculino;45;branca;Ignorado;Ignorado;Ignorado;sem informação;sem informação;29/01/2018;29/01/2018;28/07/1972
01080451-2018;2018;janeiro;Homicídio (outros);Homicídio doloso;não se aplica;Não;vítimas;074a. Alcantara;074a. Alcantara;17:03:58;08:14;Colubande;São Gonçalo;AISP 07;RISP 04;Via pública;masculino; ;parda;Sem informação;sem informação;Nenhuma;sem informação;sem informação;1/01/2018;1/01/2018; 
01099261-2018;2018;julho;Homicídio Provocado por Emprego de Arma Branca;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;056a. Comendador Soares;09:47:31;00:00;Posse;Nova Iguaçu;AISP 20;RISP 03;Hospital, clinica e similares;masculino;42;parda;Ignorado;Ignorado;Nenhuma;sem informação;sem informação;8/07/2018;8/07/2018;22/09/1975
01113541-2018;2018;março;Homicídio Provocado por Asfixia;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;036a. Santa Cruz;22:00:55;19:00;Cosmos;Rio de Janeiro;AISP 27;RISP 02;Via pública;masculino; ;parda;Sem informação;sem informação;Ignorado;sem informação;sem informação;4/03/2018;4/03/2018; 
01129001-2018;2018;setembro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios de Niterói e São Gonçalo;078a. Fonseca;02:30:55;20:43;Fonseca;Niterói;AISP 12;RISP 04;Hospital, clinica e similares;masculino;27;parda;1º Grau completo;Outros;Ignorado;Inga;Niteroi;4/09/2018;4/09/2018;1/02/1991
01138411-2018;2018;outubro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;055a. Queimados;17:49:02;22:30;Valdoriosa;Queimados;AISP 24;RISP 03;Residência;masculino;17;branca;1º Grau completo;Biscateiro(a);Ignorado;Centro;sem informação;27/10/2018;28/10/2018;4/06/2001
01148251-2018;2018;abril;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;095a. Vassouras;095a. Vassouras;14:35:47;00:45;Ipiranga;Vassouras;AISP 10;RISP 05;Via pública;masculino;50;branca;Ignorado;Motorista;Nenhuma;Esquina da alegria;Vassouras;13/04/2018;13/04/2018;30/07/1967
01150531-2018;2018;agosto;Homicídio (outros);Homicídio doloso;não se aplica;Não;vítimas;027a. Vicente de Carvalho;027a. Vicente de Carvalho;12:27:01;22:40;Iraja;Rio de Janeiro;AISP 41;RISP 02;Hospital, clinica e similares;masculino;0;parda;Ignorado;Ignorado;Nenhuma;Colegio;Rio de janeiro;24/08/2018;30/08/2018;27/11/2017
01184871-2018;2018;julho;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;093a. Volta Redonda;093a. Volta Redonda;01:16:30;20:50;Vila brasilia;Volta Redonda;AISP 28;RISP 05;Ignorado;masculino;27;parda;1º Grau completo;Outros;Ignorado;Belo horizonte;Volta redonda;21/07/2018;21/07/2018;25/10/1990
01200631-2018;2018;julho;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;123a. Macaé;123a. Macaé;08:12:54;13:00;Lagomar;Macaé;AISP 32;RISP 06;Via pública;masculino; ;ignorado;Ignorado;Ignorado;Ignorado;sem informação;sem informação;12/07/2018;12/07/2018; 
01237881-2018;2018;outubro;Feminicídio;Homicídio doloso;não se aplica;Lei Maria da Penha;vítimas;Delegacia de Homicídios de Niterói e São Gonçalo;072a. São Gonçalo;12:18:29;05:30;Porto do rosa;São Gonçalo;AISP 07;RISP 04;Residência;feminino;28;parda;Ignorado;Ignorado;Companheiro(a);sem informação;sem informação;28/10/2018;28/10/2018;12/07/1990
